season,start_hour,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
spring,0,saturday,clear cloudy,0.24,0.2879,0.81,0.0,3,13,16
spring,1,saturday,clear cloudy,0.22,0.2727,0.8,0.0,8,32,40
spring,2,saturday,clear cloudy,0.22,0.2727,0.8,0.0,5,27,32
spring,3,saturday,clear cloudy,0.24,0.2879,0.75,0.0,3,10,13
spring,4,saturday,clear cloudy,0.24,0.2879,0.75,0.0,0,1,1
spring,5,saturday,mist cloudy,0.24,0.2576,0.75,0.0896,0,1,1
spring,6,saturday,clear cloudy,0.22,0.2727,0.8,0.0,2,0,2
spring,7,saturday,clear cloudy,0.2,0.2576,0.86,0.0,1,2,3
spring,8,saturday,clear cloudy,0.24,0.2879,0.75,0.0,1,7,8
spring,9,saturday,clear cloudy,0.32,0.3485,0.76,0.0,8,6,14
spring,10,saturday,clear cloudy,0.38,0.3939,0.76,0.2537,12,24,36
spring,11,saturday,clear cloudy,0.36,0.3333,0.81,0.2836,26,30,56
spring,12,saturday,clear cloudy,0.42,0.4242,0.77,0.2836,29,55,84
spring,13,saturday,mist cloudy,0.46,0.4545,0.72,0.2985,47,47,94
spring,14,saturday,mist cloudy,0.46,0.4545,0.72,0.2836,35,71,106
spring,15,saturday,mist cloudy,0.44,0.4394,0.77,0.2985,40,70,110
spring,16,saturday,mist cloudy,0.42,0.4242,0.82,0.2985,41,52,93
spring,17,saturday,mist cloudy,0.44,0.4394,0.82,0.2836,15,52,67
spring,18,saturday,light rain,0.42,0.4242,0.88,0.2537,9,26,35
spring,19,saturday,light rain,0.42,0.4242,0.88,0.2537,6,31,37
spring,20,saturday,mist cloudy,0.4,0.4091,0.87,0.2537,11,25,36
spring,21,saturday,mist cloudy,0.4,0.4091,0.87,0.194,3,31,34
spring,22,saturday,mist cloudy,0.4,0.4091,0.94,0.2239,11,17,28
spring,23,saturday,mist cloudy,0.46,0.4545,0.88,0.2985,15,24,39
spring,0,sunday,mist cloudy,0.46,0.4545,0.88,0.2985,4,13,17
spring,1,sunday,mist cloudy,0.44,0.4394,0.94,0.2537,1,16,17
spring,2,sunday,mist cloudy,0.42,0.4242,1.0,0.2836,1,8,9
spring,3,sunday,mist cloudy,0.46,0.4545,0.94,0.194,2,4,6
spring,4,sunday,mist cloudy,0.46,0.4545,0.94,0.194,2,1,3
spring,6,sunday,light rain,0.42,0.4242,0.77,0.2985,0,2,2
spring,7,sunday,mist cloudy,0.4,0.4091,0.76,0.194,0,1,1
spring,8,sunday,light rain,0.4,0.4091,0.71,0.2239,0,8,8
spring,9,sunday,mist cloudy,0.38,0.3939,0.76,0.2239,1,19,20
spring,10,sunday,mist cloudy,0.36,0.3485,0.81,0.2239,7,46,53
spring,11,sunday,mist cloudy,0.36,0.3333,0.71,0.2537,16,54,70
spring,12,sunday,mist cloudy,0.36,0.3333,0.66,0.2985,20,73,93
spring,13,sunday,mist cloudy,0.36,0.3485,0.66,0.1343,11,64,75
spring,14,sunday,light rain,0.36,0.3485,0.76,0.194,4,55,59
spring,15,sunday,light rain,0.34,0.3333,0.81,0.1642,19,55,74
spring,16,sunday,light rain,0.34,0.3333,0.71,0.1642,9,67,76
spring,17,sunday,clear cloudy,0.34,0.3333,0.57,0.194,7,58,65
spring,18,sunday,mist cloudy,0.36,0.3333,0.46,0.3284,10,43,53
spring,19,sunday,clear cloudy,0.32,0.2879,0.42,0.4478,1,29,30
spring,20,sunday,clear cloudy,0.3,0.2727,0.39,0.3582,5,17,22
spring,21,sunday,clear cloudy,0.26,0.2273,0.44,0.3284,11,20,31
spring,22,sunday,clear cloudy,0.24,0.2121,0.44,0.2985,0,9,9
spring,23,sunday,clear cloudy,0.22,0.2273,0.47,0.1642,0,8,8
spring,0,monday,clear cloudy,0.22,0.197,0.44,0.3582,0,5,5
spring,1,monday,clear cloudy,0.2,0.1667,0.44,0.4179,0,2,2
spring,4,monday,clear cloudy,0.16,0.1364,0.47,0.3881,0,1,1
spring,5,monday,clear cloudy,0.16,0.1364,0.47,0.2836,0,3,3
spring,6,monday,clear cloudy,0.14,0.1061,0.5,0.3881,0,30,30
spring,7,monday,clear cloudy,0.14,0.1364,0.5,0.194,1,63,64
spring,8,monday,clear cloudy,0.14,0.1212,0.5,0.2836,1,153,154
spring,9,monday,clear cloudy,0.16,0.1364,0.43,0.3881,7,81,88
spring,10,monday,clear cloudy,0.18,0.1667,0.43,0.2537,11,33,44
spring,11,monday,clear cloudy,0.2,0.1818,0.4,0.3284,10,41,51
spring,12,monday,clear cloudy,0.22,0.2121,0.35,0.2985,13,48,61
spring,13,monday,clear cloudy,0.24,0.2121,0.35,0.2836,8,53,61
spring,14,monday,clear cloudy,0.26,0.2424,0.3,0.2836,11,66,77
spring,15,monday,clear cloudy,0.26,0.2424,0.3,0.2537,14,58,72
spring,16,monday,clear cloudy,0.26,0.2424,0.3,0.2537,9,67,76
spring,17,monday,clear cloudy,0.24,0.2273,0.3,0.2239,11,146,157
spring,18,monday,clear cloudy,0.24,0.2576,0.32,0.1045,9,148,157
spring,19,monday,clear cloudy,0.2,0.2576,0.47,0.0,8,102,110
spring,20,monday,clear cloudy,0.2,0.2273,0.47,0.1045,3,49,52
spring,21,monday,clear cloudy,0.18,0.197,0.64,0.1343,3,49,52
spring,22,monday,clear cloudy,0.14,0.1515,0.69,0.1343,0,20,20
spring,23,monday,clear cloudy,0.18,0.2121,0.55,0.1045,1,11,12
spring,0,tuesday,clear cloudy,0.16,0.1818,0.55,0.1045,0,5,5
spring,1,tuesday,clear cloudy,0.16,0.1818,0.59,0.1045,0,2,2
spring,2,tuesday,clear cloudy,0.14,0.1515,0.63,0.1343,0,1,1
spring,4,tuesday,clear cloudy,0.14,0.1818,0.63,0.0896,0,2,2
spring,5,tuesday,clear cloudy,0.12,0.1515,0.68,0.1045,0,4,4
spring,6,tuesday,clear cloudy,0.12,0.1515,0.74,0.1045,0,36,36
spring,7,tuesday,clear cloudy,0.12,0.1515,0.74,0.1343,2,92,94
spring,8,tuesday,clear cloudy,0.14,0.1515,0.69,0.1642,2,177,179
spring,9,tuesday,clear cloudy,0.16,0.1515,0.64,0.2239,2,98,100
spring,10,tuesday,mist cloudy,0.16,0.1364,0.69,0.3284,5,37,42
spring,11,tuesday,clear cloudy,0.22,0.2121,0.51,0.2985,7,50,57
spring,12,tuesday,clear cloudy,0.22,0.2273,0.51,0.1642,12,66,78
spring,13,tuesday,clear cloudy,0.24,0.2273,0.56,0.194,18,79,97
spring,14,tuesday,clear cloudy,0.26,0.2576,0.52,0.2239,9,54,63
spring,15,tuesday,clear cloudy,0.28,0.2727,0.52,0.2537,17,48,65
spring,16,tuesday,clear cloudy,0.3,0.2879,0.49,0.2537,15,68,83
spring,17,tuesday,clear cloudy,0.28,0.2727,0.48,0.2239,10,202,212
spring,18,tuesday,clear cloudy,0.26,0.2576,0.48,0.194,3,179,182
spring,19,tuesday,clear cloudy,0.24,0.2576,0.48,0.1045,2,110,112
spring,20,tuesday,clear cloudy,0.24,0.2576,0.48,0.1045,1,53,54
spring,21,tuesday,clear cloudy,0.22,0.2727,0.64,0.0,0,48,48
spring,22,tuesday,clear cloudy,0.22,0.2576,0.64,0.0896,1,34,35
spring,23,tuesday,clear cloudy,0.2,0.2273,0.69,0.0896,2,9,11
spring,0,wednesday,clear cloudy,0.2,0.2576,0.64,0.0,0,6,6
spring,1,wednesday,clear cloudy,0.16,0.197,0.74,0.0896,0,6,6
spring,2,wednesday,clear cloudy,0.16,0.197,0.74,0.0896,0,2,2
spring,4,wednesday,clear cloudy,0.24,0.2273,0.48,0.2239,0,2,2
spring,5,wednesday,clear cloudy,0.22,0.2273,0.47,0.1642,0,3,3
spring,6,wednesday,clear cloudy,0.2,0.197,0.47,0.2239,0,33,33
spring,7,wednesday,clear cloudy,0.18,0.1818,0.43,0.194,1,87,88
spring,8,wednesday,clear cloudy,0.2,0.1818,0.4,0.2985,3,192,195
spring,9,wednesday,clear cloudy,0.22,0.197,0.37,0.3284,6,109,115
spring,10,wednesday,clear cloudy,0.22,0.197,0.37,0.3284,4,53,57
spring,11,wednesday,clear cloudy,0.26,0.2273,0.33,0.3284,12,34,46
spring,12,wednesday,clear cloudy,0.26,0.2273,0.33,0.3284,5,74,79
spring,13,wednesday,clear cloudy,0.28,0.2576,0.3,0.2985,6,65,71
spring,14,wednesday,clear cloudy,0.3,0.2879,0.28,0.194,10,52,62
spring,15,wednesday,clear cloudy,0.3,0.2879,0.28,0.194,7,55,62
spring,16,wednesday,clear cloudy,0.3,0.3182,0.28,0.0896,4,85,89
spring,17,wednesday,clear cloudy,0.24,0.2273,0.38,0.194,4,186,190
spring,18,wednesday,clear cloudy,0.24,0.2424,0.38,0.1343,3,166,169
spring,19,wednesday,clear cloudy,0.24,0.2576,0.38,0.1045,5,127,132
spring,20,wednesday,clear cloudy,0.22,0.2273,0.47,0.1642,7,82,89
spring,21,wednesday,clear cloudy,0.2,0.197,0.51,0.194,3,40,43
spring,22,wednesday,clear cloudy,0.18,0.197,0.55,0.1343,1,41,42
spring,23,wednesday,clear cloudy,0.2,0.2576,0.47,0.0,1,18,19
spring,0,thursday,clear cloudy,0.18,0.2424,0.55,0.0,0,11,11
spring,1,thursday,clear cloudy,0.16,0.2273,0.64,0.0,0,4,4
spring,2,thursday,clear cloudy,0.16,0.2273,0.64,0.0,0,2,2
spring,4,thursday,mist cloudy,0.16,0.197,0.64,0.0896,0,1,1
spring,5,thursday,mist cloudy,0.14,0.1818,0.69,0.0896,0,4,4
spring,6,thursday,mist cloudy,0.14,0.1667,0.63,0.1045,0,36,36
